Timepoint,Batch,Animal ,Eartag ,Uplo,Bafr,Pen,Corridor,Diet,Duration,Type ,Bilirubin_1,Cortisol_1,Haptoglobin,Titer_IgG,Titer_IgM,wbc ,neutro1,lympho1,mono1,eo1,baso1,neutro2,lympho2,mono2,eo2,baso2,CD8+,CD8+ perf+,NK+,NK+ perf+,CD4+,CD4+ perf+,gamma delta+,gamma delta+ perf+,CD14+ large,CD21+ large
T0,2,89,29184,up,back,40,5,M,6,C,3.85,5.81,0.38,4.5,1.9,7.16,2.54,2.63,1.26,0.56,0.17,35.5,36.75,17.6,7.85,2.3,3.85,1.32,8.4,2.29,8.78,0.46,64.4,0.43,49.6,2.07
T0,2,90,88056,up,back,40,5,M,6,C,7.38,5.32,0.30,4.7,6.3,7.74,3.80,2.81,0.86,0.17,0.11,49.05,36.25,11.05,2.2,1.45,4.15,0.26,5.68,1.52,12.9,0.029,55,0.17,42,7.94
T0,2,91,64432,up,front,39,5,E,6,U,11.13,4.96,0.22,4.4,5.1,6.68,2.70,2.86,0.73,0.25,0.15,40.4,42.8,10.85,3.75,2.2,4.94,0.93,7.7,1.87,17.2,0.16,52,0.17,33,6.35
T0,2,92,21429,up,front,39,5,E,6,U,10.17,0.88,0.23,6.4,4.8,10.68,2.92,4.23,1.81,1.45,0.28,27.4,39.55,16.95,13.5,2.6,4.39,1.51,10.8,2.02,10.5,0.047,47.3,0.3,54.2,4.45
T0,2,93,75201,up,back,38,5,M,6,U,4.28,6.17,0.20,5.3,4.1,9.52,3.31,3.87,1.43,0.72,0.19,34.8,40.7,15,7.55,1.95,4.36,0.31,8.51,1.26,23.2,0.26,35.4,0.053,62.4,6.76
T0,2,94,54405,up,back,38,5,M,6,U,8.03,0.89,0.19,4.7,2.8,5.22,1.24,2.69,0.90,0.26,0.14,23.7,51.55,17.25,4.95,2.55,7.89,0.55,5.39,2.95,26.1,0.12,38.1,0.091,47.1,4.62
T0,2,95,19960,up,front,34,5,E,6,C,10.91,11.38,0.20,1.3,5.2,7.55,2.49,2.24,1.35,1.16,0.32,33.05,29.6,17.85,15.35,4.15,3.71,2.22,12.9,2.47,15.9,0.2,50.3,0.19,46.4,3.86
T0,2,96,80573,up,front,34,5,E,6,C,9.84,11.74,0.46,6.9,7.1,9.78,4.63,2.96,1.36,0.72,0.12,47.35,30.25,13.85,7.4,1.15,7.72,0.49,5.78,1.43,24.3,0.48,20.3,0.23,55.9,11.5
T0,2,97,902,low,front,64,8,M,18,U,20.33,3.59,0.27,4.2,6.1,10.69,6.20,3.34,0.84,0.21,0.11,58,31.25,7.8,1.95,1,7.97,1.17,10.6,1.83,21.8,0,34.7,0.19,39.2,8.83
T0,2,98,7083,low,front,64,8,M,18,U,19.90,5.21,0.29,3.5,5.8,6.33,2.80,1.91,1.25,0.30,0.08,44.1,30.15,19.75,4.7,1.3,5.53,2.26,12.2,1.7,23.3,0.19,30.3,0.024,63.1,6.51
