lizard_ID,species,start_date,initial_mass,start_crickets,initial_svl,initial_tl,trial1_mass,trial1_date,crickets_left1,crickets_eaten1,trial2_mass,trial2_date,crickets_left2,crickets_eaten2,trial3_mass,trial3_date,crickets_left3,crickets_eaten3,final_mass,final_svl,final_tl,clutch,egg_date,hatch_date,sex,yolk_trt,temp_trt,hatch_mass,hatch_svl,hatch_tl,egg_mass,egg_length_mm,egg_width_mm,post_extract_mass,extracted_yolk,dev_time
LG109_20,guichenoti,4/1/21,0.209,30,19.519,29.975,0.174,6/1/21,15,15,0.144,8/1/21,19,11,0.183,10/1/21,11,19,0.273,21.105,33.134,CL030_20,31/10/20,23/12/20,NA,A,23,0.152,19.588,24.931,0.155,9.85,5.43,0.14,0.015,53
LG110_20,guichenoti,16/12/20,0.224,30,20.378,33.486,0.122,18/12/20,5,25,0.214,20/12/20,12,18,0.291,22/12/20,15,15,0.345,25.167,37.733,CL031_20,31/10/20,2/12/20,NA,A,28,0.153,19.982,28.946,0.221,9.91,6.55,0.188,0.033,32
LG111_20,guichenoti,4/1/21,0.221,30,20.988,28.723,0.132,6/1/21,7,23,0.165,8/1/21,11,19,0.314,10/1/21,20,10,0.281,21.023,30.525,CL031_20,31/10/20,21/12/20,NA,A,23,0.122,19.078,23.579,0.161,8,6.32,0.142,0.019,51
LG112_20,guichenoti,4/1/21,0.214,30,21.749,33.013,0.172,6/1/21,6,24,0.193,8/1/21,14,16,0.202,10/1/21,8,22,0.344,23.295,34.918,CL031_20,31/10/20,23/12/20,NA,A,23,0.166,19.986,28.232,0.229,9.61,6.74,0.203,0.026,53
LG113_20,guichenoti,28/12/20,0.183,30,19.972,29.331,0.244,30/12/20,16,14,0.27,1/1/21,17,13,0.128,3/1/21,8,22,0.256,21.224,NA,CL031_20,31/10/20,20/12/20,NA,C,23,0.121,17.889,25.818,0.172,8,6.53,0.172,0,50
LG114_20,guichenoti,16/12/20,0.187,30,19.907,28.614,0.135,18/12/20,11,19,0.178,20/12/20,7,23,0.273,22/12/20,16,14,0.258,21.507,33.071,CL031_20,31/10/20,1/12/20,NA,C,28,0.124,18.984,26.954,0.165,8.44,6.16,0.165,0,31
LG115_20,guichenoti,16/12/20,0.179,30,20.428,9.311,0.12,18/12/20,9,21,0.224,20/12/20,20,10,0.289,22/12/20,21,9,0.243,22.56,10.533,CL032_20,31/10/20,1/12/20,f,A,28,0.13,19.067,24.299,0.189,8.47,6.55,0.164,0.025,31
LG117_20,guichenoti,16/12/20,0.207,30,20.697,29.417,0.124,18/12/20,6,24,0.208,20/12/20,13,17,0.281,22/12/20,16,14,0.315,24.025,32.515,CL032_20,31/10/20,1/12/20,f,A,28,0.132,18.613,25.192,0.187,8.45,6.81,0.165,0.022,31
LG118_20,guichenoti,4/1/21,0.194,30,22.196,"26,157",0.189,6/1/21,12,18,0.136,8/1/21,16,14,0.221,10/1/21,8,22,0.27,22.882,29.689,CL032_20,31/10/20,22/12/20,NA,C,23,0.148,19.76,24.01,0.188,8.44,6.36,0.188,0,52
LG119_20,guichenoti,16/12/20,0.239,30,22.691,28.72,0.134,18/12/20,5,25,0.193,20/12/20,10,20,0.263,22/12/20,12,18,0.348,23.769,32.789,CL033_20,31/10/20,1/12/20,NA,A,28,0.163,20.342,26.022,0.257,10.57,6.81,0.222,0.035,31
LG120_20,guichenoti,16/12/20,0.281,30,23.59,26.629,0.11,18/12/20,4,26,0.216,20/12/20,13,17,0.321,22/12/20,19,11,0.33,23.966,30.789,CL033_20,31/10/20,2/12/20,NA,C,28,0.171,20.838,24.535,0.239,10,6.58,0.239,0,32
LG121_20,guichenoti,28/12/20,0.231,30,22.04,25.976,0.241,30/12/20,16,14,0.257,1/1/21,10,20,0.128,3/1/21,13,17,0.331,21.751,29.202,CL033_20,31/10/20,19/12/20,NA,A,23,0.169,19.856,22.553,NA,NA,NA,NA,0,49
LG121_20**,guichenoti,16/12/20,0.207,30,20.402,28.923,0.125,18/12/20,3,27,0.196,20/12/20,12,18,0.248,22/12/20,12,18,0.312,24.445,35,CL033_20,31/10/20,3/12/20,NA,A,23,0.139,19.874,27.118,0.237,10.33,6.34,0.207,0.03,33
LG122_20,guichenoti,16/12/20,0.191,30,21.08,29.578,0.12,18/12/20,7,23,0.206,20/12/20,10,20,0.198,22/12/20,7,23,0.278,23.713,32.373,CL034_20,31/10/20,4/12/20,NA,A,28,0.148,20.121,26.786,0.17,9.86,5.6,0.148,0.022,34
LG135_20,guichenoti,16/12/20,0.225,30,20.627,31.353,0.113,18/12/20,3,27,0.221,20/12/20,7,23,0.208,22/12/20,7,23,0.326,23.173,36.355,CL038_20,2/11/20,6/12/20,NA,C,28,0.149,19.318,28.362,0.168,9.83,5.4,0.168,0,34
LG137_20,guichenoti,4/1/21,0.189,30,21.664,31.533,0.192,6/1/21,11,19,0.195,8/1/21,20,10,0.188,10/1/21,12,18,0.267,22.334,34.628,CL039_20,2/11/20,23/12/20,m,A,23,0.135,19.971,27.725,0.212,8.93,6.68,0.183,0.029,51
